phrase,diacritics_phrase
Albert Camus,Albert Camus
r,r
LIlUmd,LIlUmd
",La fel de normal poti sa reprezinti un sistem de intemnitare printr-un altul, dupa",",La fel de normal poți să reprezinți un sistem de întemnițare printr-un altul, după"
"cum poti, de altfel, sa reprezinti orice alt lucru care exista in mod real prin ceva","cum poți, de altfel, să reprezinți orice alt lucru care există în mod real prin ceva"
care nu exista.'',care nu există.''
Daniel Defoe,Daniel Defoe
"Ciudatele evenimente care fac subiectul acestei cronici s-au petrecut in 194...,","Ciudatele evenimente care fac subiectul acestei cronici s-au petrecut în 194...,"
"la Oran. Dupa parerea generala, ele nu-si aveau locul aici, iesind putin din","la Oran. După părerea generală, ele nu-și aveau locul aici, ieșind puțin din"
"obisnuit. La prima vedere, Oranul este, fntr-adevar, un oras obisnuit si nimic mai","obișnuit. La prima vedere, Oranul este, fntr-adevăr, un oraș obișnuit și nimic mai"
mult decat o prefectura franceza de pe coasta algeriana.,mult decât o prefectură franceză de pe coasta algeriană.
"Orasul ca atare, trebuie sa marturisim, este urat. Cu aerul sau pasnic, iti trebuie","Orașul ca atare, trebuie să mărturisim, este urât. Cu aerul său pașnic, îți trebuie"
un timp oarecare ca sa sesizezi ce anume il deosebeste de atatea alte orase,un timp oarecare ca să sesizezi ce anume îl deosebește de atâtea alte orașe
"comerciale de pe toate meridianele. Cum sa-ti poti inchipui, de pilda, un oras","comerciale de pe toate meridianele. Cum să-ți poți închipui, de pildă, un oraș"
"fara porumbei, fara arbori si gradini, unde nu auzi nici batai de aripi, nici fosnet","fără porumbei, fără arbori și grădini, unde nu auzi nici bătăi de aripi, nici foșnet"
"de frunze, un loc neutru, ca sa spunem tot? Schimbarea anotimpurilor nu se","de frunze, un loc neutru, ca să spunem tot? Schimbarea anotimpurilor nu se"
"citeste decat pe cer. Primavara se anunt numai prin calitatea aerului, sau prin","citește decât pe cer. Primăvara se anunț numai prin calitatea aerului, sau prin"
coyurile de flori pe care mici vanzatori le aduc de prin imprejurimi; e o,coyurile de flori pe care mici vânzători le aduc de prin împrejurimi; e o
primavara care se vinde prin piete. In timpul verii soarele incendiaza casele prea,primăvara care se vinde prin piețe. În timpul verii soarele incendiază casele prea
uscate si acopera zidurile cu o cenusa intunecata; nu mai poti trai atunci decat in,uscate și acoperă zidurile cu o cenușă întunecată; nu mai poți trăi atunci decât în
"umbra obloanelor inchise. Toamna este, dimpotriva, un potop de noroi. Zilele","umbra obloanelor închise. Toamna este, dimpotrivă, un potop de noroi. Zilele"
frumoase vin numal larna.,frumoase vin numal larna.
O cale la indemana oricui de a face cunostinta cu un oras este sa incerci sa afli,O cale la îndemâna oricui de a face cunoștință cu un oraș este să încerci să afli
"cum se munceste in el, cum se iubeste sl cum se moare. In oraselul nostru, sa fie","cum se muncește în el, cum se iubește șl cum se moare. În orășelul nostru, să fie"
"un efect al climatului, toate acestea se fac laolalta, cu acelasi aer frenetic si","un efect al climatului, toate acestea se fac laolaltă, cu același aer frenetic și"
absent. Adica oamenii aici se plictisesc si tot aici se straduiesc sa-si formeze,absent. Adică oamenii aici se plictisesc și tot aici se străduiesc să-și formeze
"obisnuinte. Concetatenii nostri muncesc mult, dar totdeauna doar ca sa se","obișnuințe. Concetățenii noștri muncesc mult, dar totdeauna doar ca să se"
"mbogateasca. Sunt interesati mai ales de comert si, in primul rand, chiar dupa","mbogățeasca. Sunt interesați mai ales de comerț și, în primul rând, chiar după"
"cum spun ei, sa faca afaceri. Fireste, au si slabiciunea bucuriilor simple, iubesc","cum spun ei, să facă afaceri. Firește, au și slăbiciunea bucuriilor simple, iubesc"
"femeile, cinematograful si baile in mare. Dar, foarte intelept, ei pastreaza aceste","femeile, cinematograful și băile în mare. Dar, foarte înțelept, ei păstrează aceste"
"placeri pentru sambata seara si duminica, incercand, in celelalte zile ale","plăceri pentru sâmbăta seara și duminică, încercând, în celelalte zile ale"
"saptamanii, sa castige multi bani. Seara, cand isi parasesc birourile, se aduna in","săptămânii, să câștige mulți bani. Seara, când își părăsesc birourile, se aduna în"
"cafenele, la ore fixe, se plimba pe acelasi bulevard sau stau in balcoanele lor.","cafenele, la ore fixe, se plimbă pe același bulevard sau stau în balcoanele lor."
"Dorintele celor mai tineri sunt violente si scurte, fn timp ce viciile celor mai in","Dorințele celor mai tineri sunt violente și scurte, fn timp ce viciile celor mai în"
"varsta nu depasesc asociatiile de popicari, banchetele prietenesti si cluburile in","vârsta nu depășesc asociațiile de popicări, banchetele prietenești și cluburile în"
care se mizeaza sume mari la jocul de carti.,care se mizează sume mari la jocul de cărți.
"Veti spune fara fndoiala ca astanu e ceva particular pentru orasul nostru si ca,","Veți spune fără fndoială că astanu e ceva particular pentru orașul nostru și că,"
"la urma urmei, toti contemporanii nostri sunt la fel. Fara indoiala, nimic nu e mai","la urma urmei, toți contemporanii noștri sunt la fel. Fără îndoială, nimic nu e mai"
"natural, astazi, decat sa vezi oameni muncind de dimineata pana seara si","natural, astăzi, decât să vezi oameni muncind de dimineață până seara și"
"hotarand, ei singuri, apoi, sa-si piarda la carti, la cafenea si in palavrageli de tot","hotărând, ei singuri, apoi, să-și piardă la cărți, la cafenea și în pălavrăgeli de tot"
"felul, timpul care le mai ramane de trait. Dar sunt orase si locuri unde oamenii","felul, timpul care le mai rămâne de trăit. Dar sunt orașe și locuri unde oamenii"
